ItemIndex	GroupName	GDP	SellType	SellPrices	PopPrice	GiftPrice	Not4Sale	Sort	Scale	Position	Action	Charm
1	B¸n Thó c­ìi	0;105;15	2	9999;200;9999	10				0.3	0;40	®øng yªn b×nh th­êng	60
2	B¸n Thó c­ìi	0;105;16	2	9999;150;9999	10				0.3	0;40	®øng yªn b×nh th­êng	45
3	B¸n Thó c­ìi	0;105;19	2	9999;150;9999	10				0.3	0;40	®øng yªn b×nh th­êng	45
4	B¸n Thó c­ìi	0;105;49	2	9999;200;9999	10				0.3	0;40	®øng yªn b×nh th­êng	60
5	B¸n Thó c­ìi	0;105;50	2	9999;200;9999	10				0.3	0;40	®øng yªn b×nh th­êng	60
6	B¸n Thó c­ìi	0;105;20	2	9999;150;9999	10				0.3	0;40	®øng yªn b×nh th­êng	45
7	B¸n Thó c­ìi	0;105;34	2	9999;200;9999	10				0.3	0;40	®øng yªn b×nh th­êng	60
8	B¸n Thó c­ìi	0;105;30001	2	9999;400;9999	10				0.3	0;40	®øng yªn b×nh th­êng	150
9	B¸n Thó c­ìi	0;105;30002	2	9999;400;9999	10				0.3	0;40	®øng yªn b×nh th­êng	150
10	B¸n Thó c­ìi	0;105;30003	2	9999;400;9999	10				0.3	0;40	®øng yªn b×nh th­êng	150
11	B¸n Thó c­ìi	0;105;30004	2	9999;400;9999	10				0.3	0;40	®øng yªn b×nh th­êng	150
12	UyÓn C©u Ký TuÊn	0;105;1		99999;99999;99999	10		1		0.3	0;40	®øng yªn b×nh th­êng	15
13	UyÓn C©u Ký TuÊn	0;105;2		99999;99999;99999	10		1		0.3	0;40	®øng yªn b×nh th­êng	15
14	UyÓn C©u Ký TuÊn	0;105;3		99999;99999;99999	10		1		0.3	0;40	®øng yªn b×nh th­êng	15
15	UyÓn C©u Ký TuÊn	0;105;4		99999;99999;99999	10		1		0.3	0;40	®øng yªn b×nh th­êng	15
16	UyÓn C©u Ký TuÊn	0;105;5		99999;99999;99999	10		1		0.3	0;40	®øng yªn b×nh th­êng	15
