ItemIndex	BodyType	GroupName	GDP	SellType	SellPrices	PopPrice	GiftPrice	Not4Sale	Sort	Scale	Charm
1	1	Tinh H¶i Linh	0;121;1	7	378;1620;2400	50				1	400
1	2	Tinh H¶i Linh	0;121;2	7	378;1620;2400	50				1	400
1	3	Tinh H¶i Linh	0;121;3	7	378;1620;2400	50				1	400
1	4	Tinh H¶i Linh	0;121;4	7	378;1620;2400	50				1	400
2	1	Tinh H¶i Linh	0;119;1	7	567;2430;3600	50				1	600
2	2	Tinh H¶i Linh	0;119;2	7	567;2430;3600	50				1	600
2	3	Tinh H¶i Linh	0;119;3	7	567;2430;3600	50				1	600
2	4	Tinh H¶i Linh	0;119;4	7	567;2430;3600	50				1	600
3	1	Tinh H¶i Linh	0;120;1	7	1418;6075;9000	50				1	1500
3	2	Tinh H¶i Linh	0;120;2	7	1418;6075;9000	50				1	1500
3	3	Tinh H¶i Linh	0;120;3	7	1418;6075;9000	50				1	1500
3	4	Tinh H¶i Linh	0;120;4	7	1418;6075;9000	50				1	1500
4	1	Nh¸nh §µo T­¬i	0;120;134	7	142;608;900	10				1	150
4	2	Nh¸nh §µo T­¬i	0;120;135	7	142;608;900	10				1	150
4	3	Nh¸nh §µo T­¬i	0;120;136	7	142;608;900	10				1	150
4	4	Nh¸nh §µo T­¬i	0;120;137	7	142;608;900	10				1	150
5	1	Con C¸ (§á)	0;120;126	7	142;608;900	10				1	150
5	2	Con C¸ (§á)	0;120;127	7	142;608;900	10				1	150
5	3	Con C¸ (§á)	0;120;128	7	142;608;900	10				1	150
5	4	Con C¸ (§á)	0;120;129	7	142;608;900	10				1	150
6	1	Con C¸ (§á)	0;120;130	7	189;810;1200	10				1	200
6	2	Con C¸ (§á)	0;120;131	7	189;810;1200	10				1	200
6	3	Con C¸ (§á)	0;120;132	7	189;810;1200	10				1	200
6	4	Con C¸ (§á)	0;120;133	7	189;810;1200	10				1	200
7	0	ThiÕu L©m Tinh Kú	0;120;42		99999;99999;99999	10		1		1	40
8	0	ThiÕu L©m Tinh Kú	0;120;43		99999;99999;99999	10		1		1	60
9	0	ThiÕu L©m Tinh Kú	0;120;44		99999;99999;99999	10		1		1	150
10	0	§­êng M«n Tinh Kú	0;120;45		99999;99999;99999	10		1		1	40
11	0	§­êng M«n Tinh Kú	0;120;46		99999;99999;99999	10		1		1	60
12	0	§­êng M«n Tinh Kú	0;120;47		99999;99999;99999	10		1		1	150
13	0	Nga My Tinh Kú	0;120;48		99999;99999;99999	10		1		1	40
14	0	Nga My Tinh Kú	0;120;49		99999;99999;99999	10		1		1	60
15	0	Nga My Tinh Kú	0;120;50		99999;99999;99999	10		1		1	150
16	0	C¸i Bang Tinh Kú	0;120;51		99999;99999;99999	10		1		1	40
17	0	C¸i Bang Tinh Kú	0;120;52		99999;99999;99999	10		1		1	60
18	0	C¸i Bang Tinh Kú	0;120;53		99999;99999;99999	10		1		1	150
19	0	Vâ §ang Tinh Kú	0;120;54		99999;99999;99999	10		1		1	40
20	0	Vâ §ang Tinh Kú	0;120;55		99999;99999;99999	10		1		1	60
21	0	Vâ §ang Tinh Kú	0;120;56		99999;99999;99999	10		1		1	150
22	0	D­¬ng M«n Tinh Kú	0;120;57		99999;99999;99999	10		1		1	40
23	0	D­¬ng M«n Tinh Kú	0;120;58		99999;99999;99999	10		1		1	60
24	0	D­¬ng M«n Tinh Kú	0;120;59		99999;99999;99999	10		1		1	150
25	0	Ngò §éc Tinh Kú	0;120;60		99999;99999;99999	10		1		1	40
26	0	Ngò §éc Tinh Kú	0;120;61		99999;99999;99999	10		1		1	60
27	0	Ngò §éc Tinh Kú	0;120;62		99999;99999;99999	10		1		1	150
28	0	C«n L«n Tinh Kú	0;120;63		99999;99999;99999	10		1		1	40
29	0	C«n L«n Tinh Kú	0;120;64		99999;99999;99999	10		1		1	60
30	0	C«n L«n Tinh Kú	0;120;65		99999;99999;99999	10		1		1	150
31	0	Minh Gi¸o Tinh Kú	0;120;66		99999;99999;99999	10		1		1	40
32	0	Minh Gi¸o Tinh Kú	0;120;67		99999;99999;99999	10		1		1	60
33	0	Minh Gi¸o Tinh Kú	0;120;68		99999;99999;99999	10		1		1	150
34	0	Thóy Yªn Tinh Kú	0;120;69		99999;99999;99999	10		1		1	40
35	0	Thóy Yªn Tinh Kú	0;120;70		99999;99999;99999	10		1		1	60
36	0	Thóy Yªn Tinh Kú	0;120;71		99999;99999;99999	10		1		1	150
37	1	TÕt Thanh Minh	0;120;247		99999;99999;99999	10		1		1	200
37	2	TÕt Thanh Minh	0;120;248		99999;99999;99999	10		1		1	200
37	3	TÕt Thanh Minh	0;120;249		99999;99999;99999	10		1		1	200
37	4	TÕt Thanh Minh	0;120;250		99999;99999;99999	10		1		1	200
38	1	TÕt Thanh Minh	0;120;231		99999;99999;99999	10		1		1	150
38	2	TÕt Thanh Minh	0;120;232		99999;99999;99999	10		1		1	150
38	3	TÕt Thanh Minh	0;120;233		99999;99999;99999	10		1		1	150
38	4	TÕt Thanh Minh	0;120;234		99999;99999;99999	10		1		1	150
39	1	§ång KiÕm Thu Thñy	0;120;158		99999;99999;99999	10		1		1	500
39	2	§ång KiÕm Thu Thñy	0;120;159		99999;99999;99999	10		1		1	500
39	3	§ång KiÕm Thu Thñy	0;120;160		99999;99999;99999	10		1		1	500
39	4	§ång KiÕm Thu Thñy	0;120;161		99999;99999;99999	10		1		1	500
40	1	Hµnh NhÊt §¶m	0;120;195		99999;99999;99999	20		1		1	500
40	2	Hµnh NhÊt §¶m	0;120;196		99999;99999;99999	20		1		1	500
40	3	Hµnh NhÊt §¶m	0;120;197		99999;99999;99999	20		1		1	500
40	4	Hµnh NhÊt §¶m	0;120;198		99999;99999;99999	20		1		1	500
41	1	X¹ Thiªn Lang	0;120;142		99999;99999;99999	20		1		1	500
41	2	X¹ Thiªn Lang	0;120;143		99999;99999;99999	20		1		1	500
41	3	X¹ Thiªn Lang	0;120;144		99999;99999;99999	20		1		1	500
41	4	X¹ Thiªn Lang	0;120;145		99999;99999;99999	20		1		1	500
42	1	Hå §iÖp ChØ Diªn	0;120;100		99999;99999;99999	20		1		1	500
43	2	Hå §iÖp ChØ Diªn	0;120;101		99999;99999;99999	20		1		1	500
44	3	Hå §iÖp ChØ Diªn	0;120;102		99999;99999;99999	20		1		1	500
45	4	Hå §iÖp ChØ Diªn	0;120;103		99999;99999;99999	20		1		1	500
46	0	Vâ T­¬ng Kim Lu©n	0;120;121		99999;99999;99999	50		1		1	1500
47	0	Vâ T­¬ng Kim Lu©n	0;121;85		99999;99999;99999	50		1		1	400
48	0	Vâ T­¬ng Kim Lu©n	0;119;97		99999;99999;99999	50		1		1	600
49	0	BÝch H¶i Lam Phong	0;120;120		99999;99999;99999	50		1		1	1500
50	0	BÝch H¶i Lam Phong	0;121;84		99999;99999;99999	50		1		1	400
51	0	BÝch H¶i Lam Phong	0;119;96		99999;99999;99999	50		1		1	600
52	0	Phong Háa Liªn Thµnh	0;120;122		99999;99999;99999	50		1		1	1500
53	0	Phong Háa Liªn Thµnh	0;121;86		99999;99999;99999	50		1		1	400
54	0	Phong Háa Liªn Thµnh	0;119;98		99999;99999;99999	50		1		1	600
55	1	Trang Søc Vò Th­êng	0;119;17		99999;99999;99999	50		1		1	600
55	2	Trang Søc Vò Th­êng	0;119;18		99999;99999;99999	50		1		1	600
55	3	Trang Søc Vò Th­êng	0;119;19		99999;99999;99999	50		1		1	600
55	4	Trang Søc Vò Th­êng	0;119;20		99999;99999;99999	50		1		1	600
56	1	Trang Søc Vò Th­êng	0;121;17		99999;99999;99999	50		1		1	400
56	2	Trang Søc Vò Th­êng	0;121;18		99999;99999;99999	50		1		1	400
56	3	Trang Søc Vò Th­êng	0;121;19		99999;99999;99999	50		1		1	400
56	4	Trang Søc Vò Th­êng	0;121;20		99999;99999;99999	50		1		1	400
57	1	Trang Søc Vò Th­êng	0;120;17		99999;99999;99999	50		1		1	1500
57	2	Trang Søc Vò Th­êng	0;120;18		99999;99999;99999	50		1		1	1500
57	3	Trang Søc Vò Th­êng	0;120;19		99999;99999;99999	50		1		1	1500
57	4	Trang Søc Vò Th­êng	0;120;20		99999;99999;99999	50		1		1	1500
58	1	Trang Søc L­u Tinh	0;119;21		99999;99999;99999	50		1		1	600
58	2	Trang Søc L­u Tinh	0;119;22		99999;99999;99999	50		1		1	600
58	3	Trang Søc L­u Tinh	0;119;23		99999;99999;99999	50		1		1	600
58	4	Trang Søc L­u Tinh	0;119;24		99999;99999;99999	50		1		1	600
