EnhanceLevel	SuccessProbability	Item_Count	Item_GDP	Stuff_1_Need	Stuff_1_Count	Stuff_1_GDP	Stuff_3_Need	Stuff_3_Count	Stuff_3_GDP	Fastness_1	Fastness_2	Fastness_3	Fastness_4	Fail_1_Level	Fail_1_Item	Fail_2_Level	Fail_2_Item	GlobalMsg	NeedConfirm
0	100	1	0;-1;-1	0	0	2;1;31096	0	0	2;201;13	10	20			0	1	0	1	0	0
1	100	1	0;-1;-1	1	1	2;1;31096	0	0	2;201;13	16	26			1	1	0	1	0	0
2	100	1	0;-1;-1	1	1	2;1;31096	0	0	2;201;13	22	32			2	1	1	1	0	0
3	100	1	0;-1;-1	1	1	2;1;31096	0	0	2;201;13	28	38			3	1	2	1	0	0
4	65	1	0;-1;-1	1	2	2;1;31096	2	1	2;201;13	34	44			2	1	3	1	0	0
5	65	1	0;-1;-1	1	2	2;1;31096	2	1	2;201;13	40	50			3	1	4	1	0	0
6	65	1	0;-1;-1	1	2	2;1;31096	2	1	2;201;13	46	56			4	1	5	1	0	0
7	35	1	0;-1;-1	1	3	2;1;31096	2	1	2;201;13	52	62			5	1	6	1	0	0
8	35	1	0;-1;-1	1	3	2;1;31096	2	1	2;201;13	58	68			0	1	7	1	0	0
9	35	1	0;-1;-1	1	3	2;1;31096	2	1	2;201;13	64	74			0	1	8	1	0	0
10	20	1	0;-1;-1	1	5	2;1;31096	2	1	2;201;13	70	80			0	1	9	1	0	0
11	20	1	0;-1;-1	1	5	2;1;31096	1	1	2;201;13	76	86			0	0	10	1	0	1
12	15	1	0;-1;-1	1	5	2;1;31096	1	2	2;201;13	82	92			0	0	11	1	0	1
13	15	1	0;-1;-1	1	5	2;1;31096	1	3	2;201;13	88	98			0	0	12	1	1	1
14	10	1	0;-1;-1	1	5	2;1;31096	1	4	2;201;13	94	104			0	0	13	1	1	1
15	5	1	0;-1;-1	1	5	2;1;31096	1	5	2;201;13	100	110			0	0	14	1	1	1
