Tªn	Lo¹i h×nh chİnh	Lo¹i h×nh phô	Ph©n lo¹i chi tiÕt	NÆng	Gi¸	Ngò hµnh	HiÖu øng	Gi÷ l¹i b	L­u c	L­u d	L­u e	L­u f	Sè trang bŞ	§¾ng cÊp yªu cÇu	Giíi tİnh (1=nam; 2=n÷)	ThÓ h×nh (1=nam tiªu chuÈn; 2=nam kh«i ng«; 3=n÷ gîi c¶m; 4=kiÒu n÷)	M«n ph¸i yªu cÇu	HiÖn h×nh nhá trªn giao diÖn	HiÖn h×nh lín trªn giao diÖn	ThuyÕt minh	Khi trang bŞ lªn ng­êi sÏ hiÖn tªn lo¹i h×nh	Khi vøt ra ngoµi; sö dông tµi nguyªn nµo	File gèc	CÊp	Cã/kh«ng thÓ giao dŞch(0 ®­îc,1 kh«ng ®­îc,2 chØ cã thÓ b¸n ë tiÖm,3 chØ cã thÓ b¸n)	Cã/kh«ng thÓ vøt (0 ®­îc; 1 kh«ng ®­îc)	L­u ph¸i	L­u ( Ch÷ sè)	Gi¸ trŞ
							EffectID1;EffectID2															ThÇn bİ							
Nh­ ı (Lam)	0	119	1	0	0		1;2							1	1	1		\image\item\ornament\effecthead01a1.spr	\image\item\ornament\effecthead01a0.spr	Trong ©m nh¹c dŞu dµngd,quÇn ¸o ®u ®­a víi móa nh­ ı ®Ñp.		ThÇn bİ		1	2	1			999
Nh­ ı (Lam)	0	119	2	0	0		3;4							1	1	2		\image\item\ornament\effecthead01a1.spr	\image\item\ornament\effecthead01a0.spr	Trong ©m nh¹c dŞu dµngd,quÇn ¸o ®u ®­a víi móa nh­ ı ®Ñp.		ThÇn bİ		1	2	1			999
Nh­ ı (Lam)	0	119	3	0	0		5;6							1	2	3		\image\item\ornament\effecthead01a1.spr	\image\item\ornament\effecthead01a0.spr	Trong ©m nh¹c dŞu dµngd,quÇn ¸o ®u ®­a víi móa nh­ ı ®Ñp.		ThÇn bİ		1	2	1			999
Nh­ ı (Lam)	0	119	4	0	0		7;8							1	2	4		\image\item\ornament\effecthead01a1.spr	\image\item\ornament\effecthead01a0.spr	Trong ©m nh¹c dŞu dµngd,quÇn ¸o ®u ®­a víi móa nh­ ı ®Ñp.		ThÇn bİ		1	2	1			999
Siªu Phong (Lam)	0	121	1	0	0		1;2							1	1	1		\image\item\ornament\effectfoot01a1.spr	\image\item\ornament\effectfoot01a0.spr	Tr¸ng trİ lªn Thanh V©n, ®i l¹i nh­ siªu phong.		ThÇn bİ		1	2	1			999
Siªu Phong (Lam)	0	121	2	0	0		3;4							1	1	2		\image\item\ornament\effectfoot01a1.spr	\image\item\ornament\effectfoot01a0.spr	Tr¸ng trİ lªn Thanh V©n, ®i l¹i nh­ siªu phong.		ThÇn bİ		1	2	1			999
Siªu Phong (Lam)	0	121	3	0	0		5;6							1	2	3		\image\item\ornament\effectfoot01a1.spr	\image\item\ornament\effectfoot01a0.spr	Tr¸ng trİ lªn Thanh V©n, ®i l¹i nh­ siªu phong.		ThÇn bİ		1	2	1			999
Siªu Phong (Lam)	0	121	4	0	0		7;8							1	2	4		\image\item\ornament\effectfoot01a1.spr	\image\item\ornament\effectfoot01a0.spr	Tr¸ng trİ lªn Thanh V©n, ®i l¹i nh­ siªu phong.		ThÇn bİ		1	2	1			999
Oanh TrÇn Vò (Lam)	0	120	1	0	0		0;1							1	1	1		\image\item\ornament\effectcloth01a1.spr	\image\item\ornament\effectcloth01a0.spr	Móa Oanh TrÇn nh­ kh«ng, c¸nh Vò nh­ giã.		ThÇn bİ		1	2	1			999
Oanh TrÇn Vò (Lam)	0	120	2	0	0		0;2							1	1	2		\image\item\ornament\effectcloth01a1.spr	\image\item\ornament\effectcloth01a0.spr	Móa Oanh TrÇn nh­ kh«ng, c¸nh Vò nh­ giã.		ThÇn bİ		1	2	1			999
Oanh TrÇn Vò (Lam)	0	120	3	0	0		0;3							1	2	3		\image\item\ornament\effectcloth01a1.spr	\image\item\ornament\effectcloth01a0.spr	Móa Oanh TrÇn nh­ kh«ng, c¸nh Vò nh­ giã.		ThÇn bİ		1	2	1			999
Oanh TrÇn Vò (Lam)	0	120	4	0	0		0;4							1	2	4		\image\item\ornament\effectcloth01a1.spr	\image\item\ornament\effectcloth01a0.spr	Móa Oanh TrÇn nh­ kh«ng, c¸nh Vò nh­ giã.		ThÇn bİ		1	2	1			999
Bİch H¶i Lam Phong	0	120	120	0	0		0;120							1				\image\item\ornament\backÀûÈĞ·ç³µÀ¶a1.spr	\image\item\ornament\backÀûÈĞ·ç³µÀ¶a0.spr	C­ìi sãng l­íi giã vÒ biÓn xanh, con hån ®øng bë víi giã xanh.		ThÇn bİ		1	2	1			999
Vâ T­¬ng Kim Lu©n	0	120	121	0	0		0;121							1				\image\item\ornament\backÀûÈĞ·ç³µ»Æa1.spr	\image\item\ornament\backÀûÈĞ·ç³µ»Æa0.spr	Ma Kha ngµn lÇn nªn V« L­îng, B¸t Nh· ®Èy trêi tù ®am mª.		ThÇn bİ		1	2	1			999
Phong Háa Liªn Thµnh	0	120	122	0	0		0;122							1				\image\item\ornament\backÀûÈĞ·ç³µºìa1.spr	\image\item\ornament\backÀûÈĞ·ç³µºìa0.spr	HuyÕt Än che trêi, giã liÖt cïng t­îng tr­ng cho hån §¹i Tèng.		ThÇn bİ		1	2	1			999
Bİch H¶i Lam Phong-Ch©n	0	121	84	0	0		73;74							1				\image\item\ornament\foot¹âÇòÀ¶a1.spr	\image\item\ornament\foot¹âÇòÀ¶a0.spr	C­ìi sãng l­íi giã vÒ biÓn xanh, con hån ®øng bë víi giã xanh.		ThÇn bİ		1	2	1			999
Vâ T­¬ng Kim Lu©n-Ch©n	0	121	85	0	0		75;76							1				\image\item\ornament\foot¹âÇò»Æa1.spr	\image\item\ornament\foot¹âÇò»Æa0.spr	Ma Kha ngµn lÇn nªn V« L­îng, B¸t Nh· ®Èy trêi tù ®am mª.		ThÇn bİ		1	2	1			999
VÕt ch©n Phong Háa Liªn Thµnh	0	121	86	0	0		77;78							1				\image\item\ornament\foot¹âÇòºì1a1.spr	\image\item\ornament\foot¹âÇòºì1a0.spr	HuyÕt Än che trêi, giã liÖt cïng t­îng tr­ng cho hån §¹i Tèng.		ThÇn bİ		1	2	1			999
Bİch H¶i Lam Phong-Vai	0	119	96	0	0		0;96							1				\image\item\ornament\back3¹âÇòÀ¶a1.spr	\image\item\ornament\back3¹âÇòÀ¶a0.spr	C­ìi sãng l­íi giã vÒ biÓn xanh, con hån ®øng bë víi giã xanh.		ThÇn bİ		1	2	1			999
Vâ T­¬ng Kim Lu©n-Vai	0	119	97	0	0		0;97							1				\image\item\ornament\back3¹âÇò»Æa1.spr	\image\item\ornament\back3¹âÇò»Æa0.spr	Ma Kha ngµn lÇn nªn V« L­îng, B¸t Nh· ®Èy trêi tù ®am mª.		ThÇn bİ		1	2	1			999
Phong Háa Liªn Thµnh-Vai	0	119	98	0	0		0;98							1				\image\item\ornament\back3¹âÇòºì2a1.spr	\image\item\ornament\back3¹âÇòºì2a0.spr	HuyÕt Än che trêi, giã liÖt cïng t­îng tr­ng cho hån §¹i Tèng.		ThÇn bİ		1	2	1			999
Con C¸-Eo (§á)	0	120	126	0	0		0;126							1	1	1		\image\item\ornament\back2Óã02a1.spr	\image\item\ornament\back2Óã02a0.spr	Con c¸ ®­a Phóc, n¨m n¨m co tµi!		ThÇn bİ		1	2	1			999
Con C¸-Eo (§á)	0	120	127	0	0		0;127							1	1	2		\image\item\ornament\back2Óã02a1.spr	\image\item\ornament\back2Óã02a0.spr	Con c¸ ®­a Phóc, n¨m n¨m co tµi!		ThÇn bİ		1	2	1			999
Con C¸-Eo (§á)	0	120	128	0	0		0;128							1	2	3		\image\item\ornament\back2Óã02a1.spr	\image\item\ornament\back2Óã02a0.spr	Con c¸ ®­a Phóc, n¨m n¨m co tµi!		ThÇn bİ		1	2	1			999
Con C¸-Eo (§á)	0	120	129	0	0		0;129							1	2	4		\image\item\ornament\back2Óã02a1.spr	\image\item\ornament\back2Óã02a0.spr	Con c¸ ®­a Phóc, n¨m n¨m co tµi!		ThÇn bİ		1	2	1			999
